idendifica,x ,y,BD,Z_SAND,ZSILT,ZCLAY,mSOC,_13C,mC3,mC4,Cs137,SR
A1,"443,794.10","4,644,886.00",1.361,29.572,37.294,33.135,1571.34239,-22.4555,1061.273426,510.0689638,"4,153.90",2.1922
A10,"443,569.40","4,644,885.00",1.413,32.821,36.276,30.903,1093.664846,-18.0755,396.4925657,697.17228,"2,170.20",-0.735
A11,"443,544.10","4,644,886.00",1.536,51.946,34.996,13.058,811.6789308,-17.67325,270.9413256,540.7376052,"1,299.00",-2.754
A12,"443,519.20","4,644,886.00",1.41,56.922,28.312,14.766,517.7582658,-18.25445,194.3239228,323.4343431,"1,869.80",-1.296
A2,"443,768.70","4,644,886.00",1.534,39.797,29.476,30.728,1277.731743,-22.4717,864.4494106,413.2823322,"2,531.60",-0.173
A3,"443,744.30","4,644,885.00",1.52,47.68,19.01,33.31,914.1437537,-19.46995,422.4617417,491.6820121,"1,136.90",-3.3209
A4,"443,719.30","4,644,886.00",1.523,33.698,34.71,31.592,1155.434597,-23.4855,865.3792481,290.0553491,"3,261.30",1.1433
A5,"443,693.70","4,644,887.00",1.594,41.59,35.242,23.167,1009.354871,-22.1415,659.0726829,350.2821884,"2,224.80",-0.643
A6,"443,668.70","4,644,887.00",1.624,43.952,27.079,28.969,1002.967851,-20.829,560.8739505,442.0939002,"2,167.80",-0.739
A7,"443,643.70","4,644,887.00",1.463,44.934,25.753,29.313,1347.026968,-20.9501,764.9285074,582.0984606,"2,853.20",0.3524
A8,"443,619.20","4,644,885.00",1.574,52.879,31.23,15.891,1076.183158,-23.1675,781.5780182,294.6051394,"3,059.20",0.7162
A9,"443,594.10","4,644,885.00",1.586,47.727,32.396,19.876,1066.177493,-21.6337,657.5040445,408.673449,"2,097.10",-0.862
B1,"443,793.50","4,644,861.00",1.39,43.663,37.396,18.941,1200.866107,-21.6777,744.3397006,456.526406,"4,089.60",2.098
B10,"443,569.10","4,644,862.00",1.217,46.718,33.743,19.538,1050.522131,-17.88685,366.6960051,683.8261258,"2,533.00",-0.171
B11,"443,543.90","4,644,862.00",1.375,35.843,32.242,31.915,814.5718554,-17.40675,256.4010373,558.1708181,"2,082.10",-0.889
B12,"443,518.80","4,644,862.00",1.365,50.869,33.559,15.572,771.3196038,-18.1822,285.5094609,485.8101429,"2,798.60",0.2737
B2,"443,768.00","4,644,861.00",1.335,46.798,22.972,30.231,813.8707648,-22.30095,540.6979489,273.1728159,"1,864.40",-1.307
B3,"443,743.90","4,644,861.00",1.281,43.762,24.212,32.026,526.1020244,-21.57875,322.3784101,203.7236144,"1,498.70",-2.166
B4,"443,718.80","4,644,862.00",1.499,46.798,22.972,30.231,825.7472213,-22.76425,575.9144507,249.8327705,"2,372.40",-0.408
B5,"443,693.40","4,644,863.00",1.477,43.892,37.819,18.289,726.8675995,-22.8216,509.9287724,216.9388271,"1,484.20",-2.206
B6,"443,668.10","4,644,863.00",1.337,44.934,25.753,29.313,579.5879805,-19.4207,265.8114678,313.7765126,"1,844.20",-1.349
B7,"443,643.80","4,644,863.00",1.374,48.267,34.5,17.232,823.0992984,-23.00555,588.2543705,234.8449279,"2,608.70",-0.066
B8,"443,619.00","4,644,861.00",1.546,59.881,24.619,15.5,1171.297642,-23.7202,896.8960694,274.4015723,"1,858.40",-1.32
B9,"443,594.10","4,644,861.00",1.561,45.033,28.489,26.478,891.8052096,-22.4377,601.1850023,290.6202073,"2,264.40",-0.578
C1,"443,793.00","4,644,836.00",1.526,58.891,25.667,15.442,781.3130827,-22.00045,502.2978099,279.0152728,"2,903.80",0.3614
C10,"443,569.00","4,644,839.00",1.315,33.899,37.732,28.369,1476.220932,-19.45665,680.8172778,795.4036546,"2,810.50",0.2858
C11,"443,543.60","4,644,839.00",1.53,58.986,28.391,12.623,713.8012205,-18.1507,262.6125677,451.1886528,"1,666.20",-1.744
C12,"443,518.70","4,644,840.00",1.5,43.062,31.167,25.771,659.8363931,-18.34725,252.022154,407.814239,"2,493.70",-0.227
C2,"443,767.90","4,644,837.00",1.254,47.315,27.535,25.15,587.8966162,-18.8286,244.7581581,343.1384581,"1,653.30",-1.775
C3,"443,743.90","4,644,837.00",1.119,38.423,36.996,24.581,1014.566145,-22.7947,709.812216,304.7539288,"2,286.60",-0.542
C4,"443,718.80","4,644,838.00",1.382,27.515,39.992,32.493,1537.040582,-21.7361,959.1243021,577.9162796,"3,544.20",1.6711
C5,"443,693.40","4,644,840.00",1.291,33.643,31.953,34.404,842.5777926,-21.7515,526.7013967,315.8763959,"2,618.80",-0.052
C6,"443,667.70","4,644,840.00",1.368,42.968,28.409,28.623,534.9006553,-19.44665,246.3083793,288.5922761,"1,714.70",-1.631
C7,"443,643.40","4,644,840.00",1.273,42.968,28.409,28.623,472.570493,-22.1548,309.0205965,163.5498965,"1,835.80",-1.367
C8,"443,618.60","4,644,838.00",1.577,45.706,35.095,19.2,1261.074992,-23.47145,943.2345516,317.8404406,"2,527.90",-0.178
C9,"443,593.80","4,644,839.00",1.487,26.682,44.469,28.849,1211.690065,-22.6417,834.4822925,377.2077723,"2,304.30",-0.514
D1,"443,792.80","4,644,811.00",1.166,48.849,23.037,28.114,492.4174385,-19.04905,212.7612648,279.6561738,"2,228.40",-0.637
D10,"443,568.40","4,644,813.00",1.403,32.821,36.276,30.903,1192.325608,-20.43905,633.5549866,558.7706218,"2,978.80",0.5991
D11,"443,543.10","4,644,813.00",1.55,44.736,38.85,16.415,948.748321,-17.57625,310.1221074,638.6262136,"1,856.80",-1.323
D12,"443,518.10","4,644,813.00",1.542,59.872,24.35,15.778,462.7031932,-18.21665,172.4114723,290.2917209,"1,865.00",-1.306
D2,"443,767.50","4,644,812.00",1.198,53.762,24.212,22.026,762.0660167,-18.44325,296.2939886,465.772028,"1,871.60",-1.292
D3,"443,743.50","4,644,811.00",1.419,52.84,20.481,26.679,785.1244541,-22.23775,518.0559592,267.0684949,"2,198.80",-0.686
D4,"443,718.20","4,644,812.00",1.495,36.725,30.716,32.559,969.1107181,-21.697,602.0254228,367.0852953,"3,240.20",1.0985
D5,"443,692.90","4,644,814.00",1.449,51.765,19.121,29.114,802.2402852,-21.405,481.6306856,320.6095996,"1,606.10",-1.889
D6,"443,667.40","4,644,814.00",1.588,44.443,26.416,29.141,696.0601491,-19.3879,317.5973301,378.4628189,"1,815.60",-1.409
D7,"443,643.20","4,644,815.00",1.418,42.968,28.409,28.623,1088.753652,-23.5487,820.3525456,268.401106,"2,664.60",0.0136
D8,"443,618.30","4,644,813.00",1.259,31.747,34.829,33.424,1342.251575,-22.9743,956.287135,385.9644405,"4,010.80",2.4027
D9,"443,593.30","4,644,813.00",1.498,50.87,30.888,18.243,1257.109305,-22.50525,853.5098735,403.5994315,"3,672.10",1.8022
E1,"443,792.60","4,644,786.00",1.424,45.72,32.043,22.238,1088.748698,-18.00905,389.5426191,699.2060784,"2,895.00",0.3486
E10,"443,568.20","4,644,790.00",1.249,33.832,34.927,31.242,1085.085059,-20.0356,545.3017456,539.7833133,"3,431.70",1.4422
E11,"443,542.70","4,644,791.00",1.415,43.062,31.167,25.771,857.9360698,-17.60525,282.2150065,575.7210633,"2,223.00",-0.646
E12,"443,517.40","4,644,791.00",1.393,52.87,30.888,16.243,525.52801,-17.7545,178.473066,347.0549439,"1,960.80",-1.115
E2,"443,767.10","4,644,787.00",1.144,32.63,33.281,34.089,786.102428,-18.3075,298.0170456,488.0853824,"2,576.90",-0.11
E3,"443,743.00","4,644,787.00",1.151,44.432,34.768,20.799,691.8951598,-18.43235,268.4726194,423.4225404,"2,039.80",-0.966
E4,"443,717.80","4,644,788.00",1.421,37.864,34.901,27.235,951.0737754,-18.8138,394.9537658,556.1200096,"2,235.20",-0.626
E5,"443,692.70","4,644,789.00",1.422,44.832,33.654,21.514,692.9414217,-19.8677,339.9224144,353.0190073,"1,726.60",-1.604
E6,"443,667.10","4,644,790.00",1.41,55.753,28.042,16.205,799.7414031,-23.1696,580.9321552,218.8092479,"2,673.80",0.0302
E7,"443,642.80","4,644,791.00",1.166,28.743,41.719,29.538,1218.992232,-22.85755,858.3054911,360.6867413,"3,825.80",2.0928
E8,"443,617.80","4,644,789.00",1.25,37.999,35.12,26.881,1508.081542,-23.49665,1130.700294,377.3812484,"5,095.50",4.3278
E9,"443,592.80","4,644,789.00",1.503,49.871,32.221,17.908,1371.384826,-21.99535,881.1490351,490.2357905,"4,026.70",2.4317
F1,"443,792.20","4,644,761.00",1.592,23.313,39.775,36.913,1863.511531,-18.079,676.0553614,1187.45617,"5,597.50",4.3063
F10,"443,567.60","4,644,768.00",1.435,51.881,32.579,15.541,1259.562126,-19.4461,579.9473869,679.6147393,"2,486.00",-0.238
F11,"443,542.10","4,644,768.00",1.367,58,29.722,12.277,708.4386484,-17.74445,240.0822677,468.3563807,"2,522.50",-0.186
F12,"443,516.80","4,644,768.00",1.592,68.929,20.597,10.474,211.5714768,-16.3577,50.7423962,160.8290806,"1,252.10",-2.909
F2,"443,766.70","4,644,763.00",1.127,48.223,33.462,18.316,1037.561587,-17.359,323.0522115,714.5093757,"1,566.20",-1.989
F3,"443,742.50","4,644,763.00",1.411,46.638,32.837,20.525,802.5002633,-17.3116,247.1471529,555.3531105,"1,090.60",-3.5019
F4,"443,717.00","4,644,765.00",1.434,51.785,26.836,21.379,1302.742819,-21.15435,758.7872071,543.955612,"2,820.60",0.3064
F5,"443,692.30","4,644,767.00",1.346,48.849,23.037,28.114,799.1925973,-20.80035,445.2844268,353.9081705,"2,000.20",-1.04
F6,"443,666.50","4,644,768.00",1.414,39.164,38.258,22.578,1462.465153,-22.51395,993.8443098,468.620843,"3,924.90",2.277
F7,"443,642.00","4,644,769.00",1.086,33.7,42.565,23.735,1482.423622,-22.8386,1041.783789,440.6398326,"4,171.50",2.7118
F8,"443,617.30","4,644,767.00",1.068,34.35,53.238,12.411,1409.797514,-22.16825,923.2411469,486.556367,"4,655.60",3.5471
F9,"443,592.30","4,644,767.00",1.478,46.711,33.374,19.915,1131.282219,-22.02215,729.0427054,402.2395135,"3,111.70",0.8073
G1,"443,791.60","4,644,736.00",1.501,46.254,33.118,20.628,1117.562334,-18.5347,441.8123034,675.750031,"3,099.10",0.6475
G10,"443,567.00","4,644,742.00",1.407,55.011,31.058,13.93,768.1767662,-18.453,299.2048504,468.9719158,"2,478.80",-0.249
G11,"443,541.60","4,644,742.00",1.269,58.891,25.667,15.442,399.6740536,-18.0661,144.627766,255.0462875,"1,153.30",-3.2599
G12,"443,516.40","4,644,742.00",1.331,72.754,15.37,11.876,244.8616449,-19.06525,106.0819352,138.7797098,"1,544.40",-2.045
G2,"443,766.20","4,644,737.00",1.485,43.847,26.912,29.241,850.0915897,-17.9953,303.3187514,546.7728383,"1,762.30",-1.525
G3,"443,742.10","4,644,738.00",1.518,44.833,25.594,29.572,492.9898151,-20.14495,251.5991126,241.3907025,"1,636.00",-1.816
G4,"443,716.50","4,644,739.00",1.453,37.796,32.132,30.072,955.1331736,-22.66535,659.4068872,295.7262864,"2,393.00",-0.376
G5,"443,691.50","4,644,741.00",1.294,44.89,34.428,20.682,1217.633175,-23.017,871.2165366,346.4166383,"3,658.10",1.83
G6,"443,666.10","4,644,742.00",1.117,20.361,46.995,32.644,1611.700814,-22.1171,1049.574107,562.1267067,"5,889.80",5.8058
G7,"443,641.60","4,644,743.00",1.136,23.496,42.862,33.643,1593.912652,-22.912,1128.490158,465.4224943,"4,578.10",3.4398
G8,"443,616.80","4,644,741.00",1.416,33.899,37.732,28.369,1225.444316,-22.0673,793.6765183,431.7677982,"3,010.70",0.6277
G9,"443,591.70","4,644,742.00",1.614,50.798,30.802,18.401,1021.360946,-21.1249,592.7468248,428.6141209,"2,910.80",0.4506
H1,"443,790.40","4,644,711.00",1.623,54.833,25.594,19.572,592.8784122,-18.371,227.4535679,365.4248443,"1,116.10",-3.4019
H10,"443,566.00","4,644,709.00",1.48,52.027,35.09,12.883,615.3087245,-17.79755,210.8553123,404.4534122,"1,695.90",-1.674
H11,"443,541.00","4,644,708.00",1.443,48.922,39.057,12.02,329.6419533,-18.2911,124.583467,205.0584863,"1,054.00",-3.6519
H12,"443,516.00","4,644,708.00",1.349,60.166,32.574,7.261,413.8792466,-13.99215,29.33073526,384.5485113,806.6,-4.8747
H2,"443,765.70","4,644,711.00",1.593,48.949,25.739,25.312,823.975477,-18.08225,299.1178119,524.8576651,998.2,-3.8939
H3,"443,741.10","4,644,710.00",1.507,44.922,28.312,26.766,861.8608886,-22.177,564.9498125,296.9110761,"3,292.00",1.2062
H4,"443,716.00","4,644,709.00",1.52,48.798,30.802,20.401,1618.614658,-22.98965,1154.956709,463.6579489,"3,518.30",1.607
H5,"443,690.90","4,644,710.00",1.494,53.847,26.912,19.241,1513.511019,-22.97475,1078.349574,435.1614447,"3,793.00",2.0766
H6,"443,666.00","4,644,710.00",1.321,18.222,43.997,37.78,1676.961451,-23.13175,1213.611013,463.3504373,"4,778.10",3.8093
H7,"443,641.00","4,644,711.00",1.29,34.909,36.376,28.715,1313.457085,-22.43705,885.3685844,428.0885004,"3,356.90",1.2532
H8,"443,615.30","4,644,710.00",1.451,56.843,25.876,17.281,719.1954266,-22.07505,466.1953182,253.0001084,"2,191.60",-0.698
H9,"443,590.90","4,644,708.00",1.583,44.934,25.753,29.313,741.7373366,-17.5372,240.3864743,501.3508622,"1,716.00",-1.628
I10,"443,565.30","4,644,685.00",1.548,50.87,30.888,18.243,489.6807015,-18.04865,176.5876052,313.0930963,785,-5.0037
I11,"443,540.00","4,644,685.00",1.417,42.688,41.568,15.744,376.9927902,-18.1981,139.9747301,237.01806,970,-4.0228
I3,"443,740.60","4,644,686.00",1.581,61.872,21.79,16.338,869.8903931,-22.3526,581.1240635,288.7663296,"1,591.30",-1.926
I4,"443,715.50","4,644,685.00",1.467,40.486,39.174,20.34,1476.363828,-23.12885,1068.133412,408.2304161,"3,088.80",0.8057
I5,"443,690.20","4,644,685.00",1.362,41.614,34.614,23.772,1424.931333,-23.2122,1039.405982,385.5253503,"3,059.10",0.735
I6,"443,664.70","4,644,686.00",1.42,29.768,40.351,29.881,1183.206782,-21.9346,755.1056649,428.101117,"2,911.70",0.4574
I7,"443,640.20","4,644,686.00",1.196,47.727,32.396,19.876,1092.084026,-21.4403,658.3940571,433.6899691,"3,264.70",1.0881
I8,"443,614.80","4,644,683.00",1.413,38.999,33.769,27.232,812.3100606,-20.40285,429.5292523,382.7808083,"2,269.30",-0.57
I9,"443,589.90","4,644,684.00",1.55,53.946,32.31,13.745,780.8489128,-18.08015,283.3449716,497.5039411,"1,126.80",-3.3599
J10,"443,564.60","4,644,660.00",1.594,40.99,31.08,27.93,470.2306375,-18.36135,180.0765018,290.1541357,"1,181.00",-3.158
J4,"443,714.10","4,644,659.00",1.484,34.063,41.973,23.964,1149.050952,-22.6268,790.120264,358.9306878,"2,905.70",0.464
J5,"443,689.60","4,644,662.00",1.528,52.858,28.233,18.909,1153.30649,-22.62875,793.2071333,360.099357,"1,979.50",-1.079
J6,"443,664.00","4,644,663.00",1.285,24.532,41.494,33.973,1451.450187,-22.9428,1030.819923,420.6302641,"3,556.70",1.6158
J7,"443,639.40","4,644,663.00",1.451,52.879,31.23,15.891,1195.43098,-19.5893,562.6466686,632.7843113,"2,203.40",-0.678
J8,"443,614.30","4,644,660.00",1.628,55.943,29.97,14.087,985.9970495,-18.05985,356.3569406,629.6401089,"1,755.90",-1.539
J9,"443,589.40","4,644,660.00",1.597,48.94,23.18,27.88,337.7048665,-19.1524,148.4068158,189.2980507,844.9,-4.6568
K10,"443,564.00","4,644,637.00",1.656,66.033,24.555,9.412,606.2147477,-17.89025,211.7529762,394.4617715,777.4,-5.0497
K4,"443,713.80","4,644,635.00",1.315,37.728,29.393,32.88,724.0841814,-20.26985,375.9988133,348.0853681,"1,838.10",-1.362
K5,"443,689.10","4,644,637.00",1.393,47.049,32.68,20.272,904.7471848,-21.4686,547.2815721,357.4656127,"1,699.00",-1.667
K6,"443,663.50","4,644,637.00",1.535,48.092,34.762,17.146,1357.493024,-18.83095,565.3909967,792.1020269,"2,787.20",0.2338
K7,"443,638.70","4,644,638.00",1.441,36.996,36.475,26.529,985.8737351,-17.74125,333.876703,651.997032,"1,939.40",-1.157
K8,"443,613.80","4,644,636.00",1.479,51.881,32.579,15.541,578.9080541,-18.6196,232.3736929,346.5343612,"1,054.50",-3.6499
K9,"443,589.00","4,644,637.00",1.521,52.879,31.23,15.891,538.3480351,-19.04345,232.3913881,305.9566471,730.7,-5.3478
X1,"443,591.50","4,644,728.00",1.537,39.996,32.423,27.581,784.2818251,-21.7024,487.5095825,296.7722426,"1,380.60",-2.501
X2,"443,590.40","4,644,697.00",1.577,53.865,29.558,16.577,710.0668724,-18.2691,267.2438114,442.823061,"2,212.40",-0.663
X3,"443,589.80","4,644,673.00",1.654,46.01,27.16,26.83,n/a,n/a,n/a,n/a,996.8,-3.89985
X4,"443,589.20","4,644,648.00",1.499,56.833,25.594,17.572,420.691096,-18.48225,164.7381259,255.9529701,962.8,-4.0568
Y2,"443,553.90","4,644,742.00",1.662,45.133,31.253,23.613,844.6844263,-17.71975,284.7642372,559.9201891,"1,477.00",-2.225
Y3,"443,578.90","4,644,742.00",1.477,32.821,36.276,30.903,734.4906463,-17.52595,237.4477101,497.0429361,"2,590.80",-0.09
Y4,"443,603.90","4,644,742.00",1.602,37.92,32.332,29.747,1008.65178,-21.6046,619.9317938,388.7199866,"3,122.70",0.9187
Y5,"443,628.90","4,644,742.00",1.418,26.682,44.469,28.849,1553.596719,-22.71105,1077.646816,475.9499027,"3,389.30",1.4447
Y6,"443,653.90","4,644,742.00",1.274,36.351,38.429,25.22,1762.364313,-22.35635,1177.806952,584.5573607,"4,511.80",3.6591
