Easting,Northing,name,curvature,cesium,redist,bulk_dens,
443794.1,4644886,A1,-0.0029432,4153.9,2.1922,1.361,
443569.4,4644885,A10,-0.0001289,2170.2,-0.735,1.413,
443544.1,4644886,A11,-0.0013767,1299,-2.754,1.536,
443519.2,4644886,A12,-0.0008545,1869.8,-1.296,1.41,
443768.7,4644886,A2,-0.0019192,2531.6,-0.173,1.534,
443744.3,4644885,A3,0.0005832,1136.9,-3.3209,1.52,
443719.3,4644886,A4,-0.0028822,3261.3,1.1433,1.523,
443693.7,4644887,A5,-0.0016547,2224.8,-0.643,1.594,
443668.7,4644887,A6,-0.0007121,2167.8,-0.739,1.624,
443643.7,4644887,A7,-0.0017632,2853.2,0.3524,1.463,
443619.2,4644885,A8,-0.0001899,3059.2,0.7162,1.574,
443594.1,4644885,A9,0.0001899,2097.1,-0.862,1.586,
443793.5,4644861,B1,-0.0019328,4089.6,2.098,1.39,
443569.1,4644862,B10,-0.0002035,2533,-0.171,1.217,
443543.9,4644862,B11,-0.0037774,2082.1,-0.889,1.375,
443518.8,4644862,B12,0.0002984,2798.6,0.2737,1.365,
443768,4644861,B2,-0.0006239,1864.4,-1.307,1.335,
443743.9,4644861,B3,-0.0031128,1498.7,-2.166,1.281,
443718.8,4644862,B4,0.0004951,2372.4,-0.408,1.499,
443693.4,4644863,B5,-0.003418,1484.2,-2.206,1.477,
443668.1,4644863,B6,0.0038723,1844.2,-1.349,1.337,
443643.8,4644863,B7,-0.0006307,2608.7,-0.066,1.374,
443619,4644861,B8,-0.0014377,1858.4,-1.32,1.546,
443594.1,4644861,B9,-0.0016751,2264.4,-0.578,1.561,
443793,4644836,C1,-0.0014445,2903.8,0.3614,1.526,
443569,4644839,C10,-0.0011325,2810.5,0.2858,1.315,
443543.6,4644839,C11,0.0031942,1666.2,-1.744,1.53,
443518.7,4644840,C12,0.0014648,2493.7,-0.227,1.5,
443767.9,4644837,C2,0.0045573,1653.3,-1.775,1.254,
443743.9,4644837,C3,-0.004598,2286.6,-0.542,1.119,
443718.8,4644838,C4,-0.0014987,3544.2,1.6711,1.382,
443693.4,4644840,C5,-0.0054321,2618.8,-0.052,1.291,
443667.7,4644840,C6,0.0060899,1714.7,-1.631,1.368,
443643.4,4644840,C7,0.0012343,1835.8,-1.367,1.273,
443618.6,4644838,C8,-0.0002374,2527.9,-0.178,1.577,
443593.8,4644839,C9,-0.0020481,2304.3,-0.514,1.487,
443792.8,4644811,D1,0.0004137,2228.4,-0.637,1.166,
443568.4,4644813,D10,-0.0005493,2978.8,0.5991,1.403,
443543.1,4644813,D11,-0.0067071,1856.8,-1.323,1.55,
443518.1,4644813,D12,0.0059882,1865,-1.306,1.542,
443767.5,4644812,D2,0.0032349,1871.6,-1.292,1.198,
443743.5,4644811,D3,-0.0054389,2198.8,-0.686,1.419,
443718.2,4644812,D4,0.0015327,3240.2,1.0985,1.495,
443692.9,4644814,D5,-0.0007053,1606.1,-1.889,1.449,
443667.4,4644814,D6,-0.0023668,1815.6,-1.409,1.588,
443643.2,4644815,D7,0.0011054,2664.6,0.0136,1.418,
443618.3,4644813,D8,-0.0017293,4010.8,2.4027,1.259,
443593.3,4644813,D9,-0.0016073,3672.1,1.8022,1.498,
443792.6,4644786,E1,-0.0016276,2895,0.3486,1.424,
443568.2,4644790,E10,-0.0000882,3431.7,1.4422,1.249,
443542.7,4644791,E11,-0.0027534,2223,-0.646,1.415,
443517.4,4644791,E12,0.0065986,1960.8,-1.115,1.393,
443767.1,4644787,E2,0.0001221,2576.9,-0.11,1.144,
443743,4644787,E3,-0.003045,2039.8,-0.966,1.151,
443717.8,4644788,E4,0.0062256,2235.2,-0.626,1.421,
443692.7,4644789,E5,-0.0004476,1726.6,-1.604,1.422,
443667.1,4644790,E6,-0.0027195,2673.8,0.0302,1.41,
443642.8,4644791,E7,-0.0010986,3825.8,2.0928,1.166,
443617.8,4644789,E8,0.0009562,5095.5,4.3278,1.25,
443592.8,4644789,E9,-0.0015869,4026.7,2.4317,1.503,
443792.2,4644761,F1,-0.0042318,5597.5,4.3063,1.592,
443567.6,4644768,F10,-0.0015327,2486,-0.238,1.435,
443542.1,4644768,F11,-0.0024685,2522.5,-0.186,1.367,
443516.8,4644768,F12,0.0120782,1252.1,-2.909,1.592,
443766.7,4644763,F2,0.0007256,1566.2,-1.989,1.127,
443742.5,4644763,F3,0.0025024,1090.6,-3.5019,1.411,
443717,4644765,F4,-0.0019599,2820.6,0.3064,1.434,
443692.3,4644767,F5,-0.0020684,2000.2,-1.04,1.346,
443666.5,4644768,F6,-0.0015666,3924.9,2.277,1.414,
443642,4644769,F7,-0.0014987,4171.5,2.7118,1.086,
443617.3,4644767,F8,-0.000963,4655.6,3.5471,1.068,
443592.3,4644767,F9,-0.0023465,3111.7,0.8073,1.478,
443791.6,4644736,G1,-0.0050184,3099.1,0.6475,1.501,
443567,4644742,G10,-0.0008545,2478.8,-0.249,1.407,
443541.6,4644742,G11,-0.0042453,1153.3,-3.2599,1.269,
443516.4,4644742,G12,0.0126139,1544.4,-2.045,1.331,
443766.2,4644737,G2,0.0049235,1762.3,-1.525,1.485,
443742.1,4644738,G3,-0.0043064,1636,-1.816,1.518,
443716.5,4644739,G4,-0.0034587,2393,-0.376,1.453,
443691.5,4644741,G5,-0.0027602,3658.1,1.83,1.294,
443666.1,4644742,G6,-0.0029026,5889.8,5.8058,1.117,
443641.6,4644743,G7,-0.0002035,4578.1,3.4398,1.136,
443616.8,4644741,G8,-0.0007731,3010.7,0.6277,1.416,
443591.7,4644742,G9,-0.0029026,2910.8,0.4506,1.614,
443790.4,4644711,H1,0.0022786,1116.1,-3.4019,1.623,
443566,4644709,H10,-0.0017293,1695.9,-1.674,1.48,
443541,4644708,H11,0.0090603,1054,-3.6519,1.443,
443516,4644708,H12,-0.0014241,806.6,-4.8747,1.349,
443765.7,4644711,H2,0.0014987,998.2,-3.8939,1.593,
443741.1,4644710,H3,-0.0052355,3292,1.2062,1.507,
443716,4644709,H4,-0.0023126,3518.3,1.607,1.52,
443690.9,4644710,H5,-0.0006307,3793,2.0766,1.494,
443666,4644710,H6,-0.0020142,4778.1,3.8093,1.321,
443641,4644711,H7,-0.0004612,3356.9,1.2532,1.29,
443615.3,4644710,H8,0.0000339,2191.6,-0.698,1.451,
443590.9,4644708,H9,-0.0024685,1716,-1.628,1.583,
443565.3,4644685,I10,-0.0010512,785,-5.0037,1.548,
443540,4644685,I11,0.0130683,970,-4.0228,1.417,
443740.6,4644686,I3,-0.0079685,1591.3,-1.926,1.581,
443715.5,4644685,I4,-0.0008002,3088.8,0.8057,1.467,
443690.2,4644685,I5,-0.0014581,3059.1,0.735,1.362,
443664.7,4644686,I6,-0.0013089,2911.7,0.4574,1.42,
443640.2,4644686,I7,0.0004205,3264.7,1.0881,1.196,
443614.8,4644683,I8,0.0004001,2269.3,-0.57,1.413,
443589.9,4644684,I9,-0.0029432,1126.8,-3.3599,1.55,
443564.6,4644660,J10,0.0145399,1181,-3.158,1.594,
443714.1,4644659,J4,-0.004876,2905.7,0.464,1.484,
443689.6,4644662,J5,-0.0053033,1979.5,-1.079,1.528,
443664,4644663,J6,-0.0011122,3556.7,1.6158,1.285,
443639.4,4644663,J7,-0.0000136,2203.4,-0.678,1.451,
443614.3,4644660,J8,-0.0000475,1755.9,-1.539,1.628,
443589.4,4644660,J9,-0.0035739,844.9,-4.6568,1.597,
443564,4644637,K10,0.0073785,777.4,-5.0497,1.656,
443713.8,4644635,K4,-0.0031128,1838.1,-1.362,1.315,
443689.1,4644637,K5,-0.0028415,1699,-1.667,1.393,
443663.5,4644637,K6,-0.0063951,2787.2,0.2338,1.535,
443638.7,4644638,K7,-0.0022719,1939.4,-1.157,1.441,
443613.8,4644636,K8,-0.0016954,1054.5,-3.6499,1.479,
443589,4644637,K9,0.0072361,730.7,-5.3478,1.521,
443591.5,4644728,X1,-0.0042657,1380.6,-2.501,1.537,
443590.4,4644697,X2,-0.0033434,2212.4,-0.663,1.577,
443589.8,4644673,X3,-0.0005425,996.8,-3.89985,1.654,
443589.2,4644648,X4,-0.0056966,962.8,-4.0568,1.499,
443553.9,4644742,Y2,-0.0019463,1477,-2.225,1.662,
443578.9,4644742,Y3,-0.0003594,2590.8,-0.09,1.477,
443603.9,4644742,Y4,-0.0023939,3122.7,0.9187,1.602,
443628.9,4644742,Y5,0.0020549,3389.3,1.4447,1.418,
443653.9,4644742,Y6,,4511.8,3.6591,1.274,
